Asset Number,Device Status,Device Type,Manufacturer,Model Number,Model Name,Operating System,Serial Number,Device Procurement,Start Date,End Date,Additional Information,Assigned User's ID,Assigned User's Email,Assigned Date,Unassigned Date,TextCustomField,NumberCustomField,DateCustomFiled,PriceCustomFiled
BZeshmwB60,In-use,laptop,dell,KxkiDx2zw8,dell-model,windows,k2R5ZDd8jz,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,qYDRELxU74,10,2024-06-25,10
Amsd7BM4z4,In-use,laptop,dell,TJuVoLgi1j,dell-model,windows,mCq5dNMCIS,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,GUDdlnDzcZ,10,2024-06-25,10
wuGjDnSCJU,In-use,laptop,dell,YyIyvrY1AH,dell-model,windows,t349Q2EU5S,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,0uPT7qh9HS,10,2024-06-25,10
zueZR2X5to,In-use,laptop,dell,SKuyl7oE4w,dell-model,windows,Rn2s38mAus,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wRTsoHQhHC,10,2024-06-25,10
MqnFEf9f0m,In-use,laptop,dell,PRkvlBoVQq,dell-model,windows,iTstOIWD78,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,qgG0KK2fcK,10,2024-06-25,10
hZ7FBYVEii,In-use,laptop,dell,XRSqCi74PR,dell-model,windows,NjeGTsXEkY,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yu5UZq5YiN,10,2024-06-25,10
DboXHDWN2F,In-use,laptop,dell,pNEu5cuZgC,dell-model,windows,H0FYnYvvw7,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Y2FyrkQvhp,10,2024-06-25,10
HxprXgYIaA,In-use,laptop,dell,Q2wVhGDqBl,dell-model,windows,CLrA4XUavf,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,cCOk4Ibpjp,10,2024-06-25,10
ssUjpTDmxv,In-use,laptop,dell,mm4mBUijrX,dell-model,windows,7jj3sboZUw,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yjLDcfZeeG,10,2024-06-25,10
0j1bHxr8jX,In-use,laptop,dell,y3cCQ8j9YE,dell-model,windows,LjmRqtiCBU,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,PYEu2JJcAm,10,2024-06-25,10
utY7cnSEwR,In-use,laptop,dell,DR3NbUluJj,dell-model,windows,ofkhdMLbMa,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,OlVZCnQylB,10,2024-06-25,10
unUXSMDzF8,In-use,laptop,dell,10rYlFhevG,dell-model,windows,zr9F6vMSNk,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,L5I9l5zVJF,10,2024-06-25,10
tTpA2Z7Jco,In-use,laptop,dell,9YFrvsyCMh,dell-model,windows,GNHdoOkBXy,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,A3VRnwbdGh,10,2024-06-25,10
xHWlAUbTnU,In-use,laptop,dell,jzTmGt9vKl,dell-model,windows,bqmsvjQDzb,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wZnbV0PJWG,10,2024-06-25,10
vWx8rsk7jV,In-use,laptop,dell,cbdW6D26hS,dell-model,windows,XT5efGY8Ta,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,K3MHRxRR6V,10,2024-06-25,10
KZTltf7xsf,In-use,laptop,dell,rtAUSGlT6T,dell-model,windows,iIxBiwbN3l,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,iJ9J6DQRWE,10,2024-06-25,10
