Asset Number,Device Status,Device Type,Manufacturer,Model Number,Model Name,Operating System,Serial Number,Device Procurement,Start Date,End Date,Additional Information,Assigned User's ID,Assigned User's Email,Assigned Date,Unassigned Date,TextCustomField,NumberCustomField,DateCustomFiled,PriceCustomFiled
et138lMBni,In-use,laptop,dell,9ZARgWRhdB,dell-model,windows,W63Hrhna4o,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BwQh8dVWjp,10,2024-06-25,10
6DBSD4JCrI,In-use,laptop,dell,Ar5UabW6RW,dell-model,windows,xHGV6FbfqK,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,iOfxgaFas5,10,2024-06-25,10
Xd26QDVHyl,In-use,laptop,dell,lMiq97zkdJ,dell-model,windows,dawNN0sz0i,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BlGiTwRuwl,10,2024-06-25,10
3YD6201Fjy,In-use,laptop,dell,Z3KJW6mm4T,dell-model,windows,1z5vtosm9Q,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BfniXAcSKy,10,2024-06-25,10
w3v3LAhj5k,In-use,laptop,dell,pXQn1vRt55,dell-model,windows,0Q7Z1jjh1P,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,qa8Rh2mHMB,10,2024-06-25,10
UmasTy1zI3,In-use,laptop,dell,LX2CZKhSq4,dell-model,windows,iMIoeYAfRD,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,l75jSf1Qor,10,2024-06-25,10
LRB4ytE4U8,In-use,laptop,dell,cV81jdfV1Q,dell-model,windows,Qr5rOpckTX,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,hdjjDeGfW1,10,2024-06-25,10
liDj9unwce,In-use,laptop,dell,GjYyQZrMsr,dell-model,windows,PPjJpvL0wJ,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,IaEmTBFQxv,10,2024-06-25,10
ZSpcIAKSuK,In-use,laptop,dell,0VFf3dx2fG,dell-model,windows,bFSmAxB2hi,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ul91LG6uc7,10,2024-06-25,10
2vGfZycXHy,In-use,laptop,dell,1ihXQA3POl,dell-model,windows,sm8D5XLh9N,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,0FNba3K6rf,10,2024-06-25,10
ZT8WDDp3d8,In-use,laptop,dell,pL8v1YI1KG,dell-model,windows,vmqNlozkc8,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,6oeMKWNZXi,10,2024-06-25,10
ApZBpdg6Zk,In-use,laptop,dell,JF7CPxyFfJ,dell-model,windows,kQNBuaDxdK,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,xDZ0HYoeVS,10,2024-06-25,10
PGTpfKTafR,In-use,laptop,dell,ybsXduH3Ps,dell-model,windows,9tpVttgiMP,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,XHlANqOE1q,10,2024-06-25,10
EQnRomAUss,In-use,laptop,dell,mdxiZH8UaC,dell-model,windows,j9Mpe57j2Y,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,ZocDB5APBp,10,2024-06-25,10
sdGlK3sTWF,In-use,laptop,dell,DwXGvWZv9O,dell-model,windows,C6GrV9OxBr,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,05glFvD5km,10,2024-06-25,10
sQm0BxDh6T,In-use,laptop,dell,cBjKXOjV6W,dell-model,windows,rHUrcdeuv1,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,kd3ePx7LTM,10,2024-06-25,10
U0aAeXn248,In-use,laptop,dell,oQqERaHulC,dell-model,windows,s5sYtFHcuP,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wSxdPJOKxa,10,2024-06-25,10
XtuGtYtTRI,In-use,laptop,dell,Pfm9LrDt41,dell-model,windows,1kKdl5iQ4Q,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,YjHud8lSXg,10,2024-06-25,10
SgbVUSHZQh,In-use,laptop,dell,bMCAu9ZO3D,dell-model,windows,xQyEatwpGA,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,FQb8FjVUbp,10,2024-06-25,10
u4ejZoBXJO,In-use,laptop,dell,bNozJrlcDZ,dell-model,windows,fnvlFTML92,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,HMOPbzFxSn,10,2024-06-25,10
SsoDvRjf1P,In-use,laptop,dell,RHlJ24dP78,dell-model,windows,kpAyIwcZze,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,K9poCweUg1,10,2024-06-25,10
56fiibnA9b,In-use,laptop,dell,z0YXYxvAFf,dell-model,windows,Srb7UJowr2,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,77tM83SLDu,10,2024-06-25,10
IRufjIzRr7,In-use,laptop,dell,FET0zj7hDh,dell-model,windows,25FLlX5NJF,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,acEqLMU9X2,10,2024-06-25,10
WUy5J2xe9V,In-use,laptop,dell,bnrnbBtWww,dell-model,windows,ATtecSzR57,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,IE6Jkx134s,10,2024-06-25,10
THTDHkC73A,In-use,laptop,dell,ilEPtHwbJC,dell-model,windows,2W7xOZXdmd,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Xd3oBO2Otp,10,2024-06-25,10
DeFD4hSctY,In-use,laptop,dell,401PpHChDN,dell-model,windows,OKR9OxeGkD,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,t7wBPo9qLH,10,2024-06-25,10
Xi5IyI00W0,In-use,laptop,dell,aYW4Ycv2Fi,dell-model,windows,QjbBqpt8bi,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,xbk0IqBE7S,10,2024-06-25,10
LjF8wfVUw1,In-use,laptop,dell,CUfodSWZbd,dell-model,windows,22ErMBW0El,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,q5Flvja2wA,10,2024-06-25,10
m2FCgmlRY9,In-use,laptop,dell,y3MLNBV4xm,dell-model,windows,Dlq4OD2pNy,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,nNajY0J1lf,10,2024-06-25,10
yGNZDvtVdk,In-use,laptop,dell,dVZL0TLIwR,dell-model,windows,EtCCKvJ3wl,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,jaz7wIzMZo,10,2024-06-25,10
Q8TMS1ccOq,In-use,laptop,dell,eZdGCVOwDi,dell-model,windows,TjxVsXSw5A,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,T5zSQRyGwZ,10,2024-06-25,10
tek8gVw9dg,In-use,laptop,dell,oEDH5gx39Q,dell-model,windows,UAYeVuWiY0,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,AByjit1x5I,10,2024-06-25,10
9BklaxAPaO,In-use,laptop,dell,6wO8HARc4m,dell-model,windows,Py69R5YfpO,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,fbigzbf723,10,2024-06-25,10
lkYvBavvgI,In-use,laptop,dell,Z8A3L6GsC6,dell-model,windows,bXl3VB9vPu,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,CnHCtsaykM,10,2024-06-25,10
H54Tj40XWQ,In-use,laptop,dell,yuzCLitWca,dell-model,windows,5vhQq806p8,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,11TtACcAtc,10,2024-06-25,10
CxHW3IokFU,In-use,laptop,dell,4aOloDz2DL,dell-model,windows,m8AjDcRdE6,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,kfKhwMliFD,10,2024-06-25,10
lOU8j0v995,In-use,laptop,dell,tAwqKdvsw5,dell-model,windows,Bo0mUI2a5e,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,BzepiGIPqe,10,2024-06-25,10
dR73NBpMkp,In-use,laptop,dell,M5yeyny7da,dell-model,windows,0xtz1U5s9n,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,FV8FEnQmGM,10,2024-06-25,10
zRJB7OEfkk,In-use,laptop,dell,uSTIQyavcx,dell-model,windows,1OcNBQtcru,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,GVWZEZotXq,10,2024-06-25,10
tLLcCjytTi,In-use,laptop,dell,DWgHYp9mzf,dell-model,windows,7wbDF7MVp0,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wtGQImKAkY,10,2024-06-25,10
HmLOji955D,In-use,laptop,dell,azcVgocaXI,dell-model,windows,41ehMnRYE1,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,zZyZoSxmEi,10,2024-06-25,10
koPqGEETrc,In-use,laptop,dell,HE0wPWLfM8,dell-model,windows,20fNnfJ5W2,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,wMDXbnjKox,10,2024-06-25,10
XBLbHrVedM,In-use,laptop,dell,2Etci07UzF,dell-model,windows,WaevddIzTT,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,Ebkpu1uczz,10,2024-06-25,10
XTBKGYgAYZ,In-use,laptop,dell,WM80qt5TRC,dell-model,windows,mhS9Q6OtwP,rent,2024-06-25,,memo,123456,test12345@taskel.it,2024-06-25,,yItHXmeta7,10,2024-06-25,10
